index,Diện tích,Dài,Rộng,Giá/m2,Ngày
297.0,30 m²,7 m,4.5 m,"71,67 triệu/m²",2020_08_04
302.0,46 m²,8 m,6 m,100 triệu/m²,2020_08_04
304.0,32 m²,8 m,4 m,"43,75 triệu/m²",2020_08_04
305.0,24 m²,6 m,4 m,"93,75 triệu/m²",2020_08_04
308.0,41 m²,10 m,4.1 m,"51,22 triệu/m²",2020_08_04
310.0,36 m²,10 m,3.6 m,"152,78 triệu/m²",2020_08_04
312.0,36 m²,9 m,4 m,"52,78 triệu/m²",2020_08_04
313.0,48 m²,12 m,4 m,"56,25 triệu/m²",2020_08_04
314.0,32 m²,8 m,4 m,"53,13 triệu/m²",2020_08_04
317.0,32 m²,8 m,4 m,"48,44 triệu/m²",2020_08_04
321.0,33 m²,9 m,4 m,"46,61 triệu/m²",2020_08_04
323.0,185 m²,13 m,13 m,200 triệu/m²,2020_08_04
324.0,77 m²,11 m,7 m,"97,4 triệu/m²",2020_08_04
325.0,55 m²,10 m,6 m,"39,09 triệu/m²",2020_08_04
329.0,35 m²,10 m,3.5 m,68 triệu/m²,2020_08_04
332.0,55 m²,10 m,6 m,160 triệu/m²,2020_08_04
333.0,35 m²,7 m,5 m,"85,71 triệu/m²",2020_08_04
334.0,30 m²,8 m,4 m,40 triệu/m²,2020_08_04
335.0,30 m²,8 m,4 m,"40,27 triệu/m²",2020_08_04
338.0,140 m²,21 m,6.8 m,178.571 đ/m²,2020_08_04
339.0,42 m²,10 m,42 m,50 triệu/m²,2020_08_04
343.0,165 m²,22.6 m,7.3 m,"49,09 triệu/m²",2020_08_04
344.0,31 m²,8 m,4 m,"69,35 triệu/m²",2020_08_04
347.0,56 m²,10 m,6 m,"160,71 triệu/m²",2020_08_04
348.0,31 m²,7.5 m,4 m,"66,13 triệu/m²",2020_08_04
349.0,63 m²,10 m,6.3 m,"87,3 triệu/m²",2020_08_04
362.0,50 m²,15 m,4 m,210 triệu/m²,2020_08_04
364.0,33 m²,10 m,33 m,"47,88 triệu/m²",2020_08_04
369.0,80 m²,16 m,5 m,"161,13 triệu/m²",2020_08_04
371.0,38 m²,10 m,4 m,"113,16 triệu/m²",2020_08_04
373.0,62 m²,16 m,5 m,"207,9 triệu/m²",2020_08_04
376.0,62 m²,5 m,6 m,"80,65 triệu/m²",2020_08_04
377.0,40 m²,8 m,5 m,"102,5 triệu/m²",2020_08_04
381.0,57 m²,8.14 m,7 m,"63,16 triệu/m²",2020_08_04
383.0,35 m²,6 m,6 m,"111,43 triệu/m²",2020_08_04
389.0,25 m²,4 m,5 m,80 triệu/m²,2020_08_04
395.0,56 m²,14 m,4 m,"58,93 triệu/m²",2020_08_04
396.0,30 m²,5.6 m,5.5 m,"77,33 triệu/m²",2020_08_04
399.0,44 m²,9.5 m,4.6 m,"79,55 triệu/m²",2020_08_04
411.0,32 m²,8 m,4 m,"79,69 triệu/m²",2020_08_04
415.0,34 m²,8 m,4 m,"111,76 triệu/m²",2020_08_04
416.0,49 m²,12.25 m,4 m,"75,51 triệu/m²",2020_08_04
423.0,45 m²,10 m,4.5 m,"103,33 triệu/m²",2020_08_04
425.0,40 m²,10 m,4 m,70 triệu/m²,2020_08_04
428.0,63 m²,21 m,3 m,"111,11 triệu/m²",2020_08_04
434.0,32 m²,5 m,6 m,"85,94 triệu/m²",2020_08_04
458.0,67 m²,15 m,45 m,"111,94 triệu/m²",2020_08_04
459.0,50 m²,11 m,4.6 m,78 triệu/m²,2020_08_04
468.0,110 m²,15.7 m,7 m,"31,82 triệu/m²",2020_08_04
472.0,41 m²,10 m,4.1 m,"112,2 triệu/m²",2020_08_04
477.0,35 m²,9 m,4 m,"95,71 triệu/m²",2020_08_04
490.0,34 m²,9 m,4 m,"97,06 triệu/m²",2020_08_04
509.0,80 m²,18 m,4.5 m,175 triệu/m²,2020_08_04
510.0,43 m²,12 m,4 m,"60,47 triệu/m²",2020_08_04
516.0,47 m²,11 m,4.2 m,"63,83 triệu/m²",2020_08_04
518.0,44 m²,7 m,7 m,"161,36 triệu/m²",2020_08_04
519.0,44 m²,9 m,5 m,"164,77 triệu/m²",2020_08_04
523.0,36 m²,9 m,4 m,"88,89 triệu/m²",2020_08_04
525.0,76 m²,16.55 m,4.6 m,"117,11 triệu/m²",2020_08_04
529.0,65 m²,13 m,5 m,102 triệu/m²,2020_08_04
530.0,33 m²,8 m,4 m,"65,15 triệu/m²",2020_08_04
539.0,22 m²,4.2 m,5 m,"113,64 triệu/m²",2020_08_04
541.0,65 m²,14 m,5 m,"115,38 triệu/m²",2020_08_04
547.0,45 m²,1430 m,3500 m,"173,33 triệu/m²",2020_08_04
551.0,31 m²,7 m,4.6 m,"66,13 triệu/m²",2020_08_04
552.0,43 m²,11 m,4 m,"97,67 triệu/m²",2020_08_04
558.0,58 m²,9 m,6.5 m,"43,97 triệu/m²",2020_08_04
560.0,90 m²,30 m,3 m,"84,44 triệu/m²",2020_08_04
577.0,86 m²,15 m,6 m,"37,79 triệu/m²",2020_08_04
582.0,35 m²,9 m,3.46 m,"65,14 triệu/m²",2020_08_04
588.0,42 m²,7 m,6 m,"366,67 triệu/m²",2020_08_04
591.0,35 m²,10 m,3.5 m,"45,71 triệu/m²",2020_08_04
596.0,30 m²,9 m,3 m,75 triệu/m²,2020_08_04
602.0,31 m²,8 m,4 m,"108,06 triệu/m²",2020_08_04
604.0,50 m²,10 m,5 m,240 triệu/m²,2020_08_04
609.0,56 m²,11 m,5.3 m,"77,68 triệu/m²",2020_08_04
610.0,60 m²,15 m,4 m,75 triệu/m²,2020_08_04
615.0,42 m²,10 m,4 m,"142,86 triệu/m²",2020_08_04
629.0,25 m²,5 m,5 m,180 triệu/m²,2020_08_04
638.0,35 m²,10 m,3 m,60 triệu/m²,2020_08_04
642.0,30 m²,6 m,5 m,"71,67 triệu/m²",2020_08_04
643.0,55 m²,13 m,4 m,"72,73 triệu/m²",2020_08_04
649.0,35 m²,7 m,5 m,"88,57 triệu/m²",2020_08_04
652.0,35 m²,8 m,3.7 m,"62,86 triệu/m²",2020_08_04
664.0,38 m²,10 m,3.6 m,"92,11 triệu/m²",2020_08_04
666.0,60 m²,12 m,5 m,"166,67 triệu/m²",2020_08_04
670.0,40 m²,8 m,5 m,"112,5 triệu/m²",2020_08_04
672.0,50 m²,18 m,3.5 m,64 triệu/m²,2020_08_04
675.0,35 m²,9 m,4 m,140 triệu/m²,2020_08_04
676.0,34 m²,10.6 m,3.2 m,"94,12 triệu/m²",2020_08_04
684.0,25 m²,8 m,3.2 m,118 triệu/m²,2020_08_04
687.0,45 m²,9 m,5 m,"103,33 triệu/m²",2020_08_04
688.0,41 m²,11 m,4.5 m,"96,34 triệu/m²",2020_08_04
692.0,50 m²,10 m,5 m,60 triệu/m²,2020_08_04
694.0,108 m²,18 m,6 m,"83,33 triệu/m²",2020_08_04
695.0,26 m²,8.96 m,2.9 m,"113,46 triệu/m²",2020_08_04
698.0,41 m²,6 m,3 m,"60,98 triệu/m²",2020_08_04
705.0,20 m²,5 m,4 m,550 triệu/m²,2020_08_04
707.0,30 m²,9 m,35 m,53 triệu/m²,2020_08_04
710.0,32 m²,6 m,5.3 m,100 triệu/m²,2020_08_04
726.0,35 m²,8 m,4 m,"88,57 triệu/m²",2020_08_04
727.0,45 m²,7 m,6.2 m,"122,22 triệu/m²",2020_08_04
731.0,47 m²,10 m,4.5 m,"78,72 triệu/m²",2020_08_04
734.0,38 m²,9 m,4 m,"107,89 triệu/m²",2020_08_04
740.0,52 m²,10 m,5 m,"103,85 triệu/m²",2020_08_04
746.0,21 m²,6 m,3.5 m,"78,57 triệu/m²",2020_08_04
748.0,52 m²,10.5 m,5 m,"54,81 triệu/m²",2020_08_04
750.0,30 m²,5 m,6 m,"91,67 triệu/m²",2020_08_04
751.0,36 m²,10 m,3.6 m,"40,28 triệu/m²",2020_08_04
754.0,25 m²,5 m,5 m,"79,2 triệu/m²",2020_08_04
765.0,41 m²,11 m,3.9 m,"43,9 triệu/m²",2020_08_04
767.0,40 m²,10 m,4 m,80 triệu/m²,2020_08_04
768.0,35 m²,8.3 m,4 m,"74,29 triệu/m²",2020_08_04
770.0,66 m²,11 m,6 m,"75,76 triệu/m²",2020_08_04
780.0,31 m²,6.2 m,5 m,"83,87 triệu/m²",2020_08_04
783.0,36 m²,8 m,4.2 m,"161,11 triệu/m²",2020_08_04
787.0,31 m²,9 m,3.5 m,"74,19 triệu/m²",2020_08_04
791.0,37 m²,10 m,4 m,"45,68 triệu/m²",2020_08_04
793.0,76 m²,19 m,4 m,"101,97 triệu/m²",2020_08_04
801.0,39 m²,10 m,3.9 m,"42,31 triệu/m²",2020_08_04
805.0,40 m²,10 m,4 m,"87,5 triệu/m²",2020_08_04
811.0,40 m²,10 m,5 m,"62,5 triệu/m²",2020_08_04
818.0,39.8 m²,6.7 m,6 m,"41,54 triệu/m²",2020_08_04
822.0,37 m²,10.2 m,3.6 m,"37,84 triệu/m²",2020_08_04
827.0,38 m²,10 m,3.8 m,"94,74 triệu/m²",2020_08_04
829.0,35 m²,9 m,4.5 m,"75,71 triệu/m²",2020_08_04
830.0,45 m²,5.5 m,8 m,"61,11 triệu/m²",2020_08_04
832.0,30 m²,10 m,3.5 m,110 triệu/m²,2020_08_04
836.0,31 m²,7.8 m,4 m,"79,03 triệu/m²",2020_08_04
839.0,31 m²,10 m,3.06 m,"138,71 triệu/m²",2020_08_04
841.0,32 m²,8 m,5 m,"45,31 triệu/m²",2020_08_04
843.0,50 m²,10.4 m,4.8 m,218 triệu/m²,2020_08_04
845.0,50 m²,14 m,3.6 m,51 triệu/m²,2020_08_04
846.0,60 m²,12 m,5 m,"83,33 triệu/m²",2020_08_04
847.0,36.5 m²,10 m,3.65 m,"95,92 triệu/m²",2020_08_04
849.0,36 m²,9 m,4 m,"52,78 triệu/m²",2020_08_04
852.0,42 m²,14 m,3 m,"76,19 triệu/m²",2020_08_04
858.0,32 m²,8 m,4 m,"53,13 triệu/m²",2020_08_04
862.0,34 m²,10 m,3.4 m,"79,41 triệu/m²",2020_08_04
871.0,37 m²,10 m,3.7 m,"45,68 triệu/m²",2020_08_04
872.0,30 m²,8 m,4 m,100 triệu/m²,2020_08_04
873.0,59 m²,17 m,3.5 m,"74,58 triệu/m²",2020_08_04
874.0,45 m²,10 m,4.5 m,"118,89 triệu/m²",2020_08_04
876.0,35 m²,12 m,3 m,"71,43 triệu/m²",2020_08_04
880.0,30 m²,9 m,3.5 m,"78,33 triệu/m²",2020_08_04
881.0,86 m²,15 m,5.7 m,"441,86 triệu/m²",2020_08_04
883.0,32 m²,8 m,4 m,"56,25 triệu/m²",2020_08_04
893.0,38 m²,12 m,3.5 m,"197,37 triệu/m²",2020_08_04
909.0,32 m²,8 m,4 m,"56,25 triệu/m²",2020_08_04
910.0,43 m²,9 m,5 m,"88,37 triệu/m²",2020_08_04
915.0,36 m²,7 m,5 m,"76,39 triệu/m²",2020_08_04
920.0,35 m²,10 m,3.5 m,"105,71 triệu/m²",2020_08_04
921.0,35.5 m²,10 m,3.55 m,"98,69 triệu/m²",2020_08_04
928.0,63 m²,13 m,4.5 m,"171,43 triệu/m²",2020_08_04
934.0,48 m²,11 m,4.5 m,"110,42 triệu/m²",2020_08_04
939.0,45 m²,8 m,5 m,"148,89 triệu/m²",2020_08_04
949.0,34 m²,9.7 m,3.5 m,"43,24 triệu/m²",2020_08_04
959.0,54 m²,13 m,4 m,"81,48 triệu/m²",2020_08_04
967.0,31 m²,9 m,3 m,"63,87 triệu/m²",2020_08_04
969.0,45 m²,11.25 m,4 m,"82,22 triệu/m²",2020_08_04
984.0,34 m²,8 m,4.3 m,"76,47 triệu/m²",2020_08_04
992.0,40 m²,10 m,4 m,70 triệu/m²,2020_08_04
1004.0,42 m²,10 m,4 m,"123,81 triệu/m²",2020_08_04
1008.0,33 m²,8 m,4 m,"84,85 triệu/m²",2020_08_04
1019.0,47 m²,9.4 m,5 m,"63,83 triệu/m²",2020_08_04
1020.0,70 m²,15 m,4.5 m,"221,43 triệu/m²",2020_08_04
1030.0,35 m²,10 m,3.5 m,"46,29 triệu/m²",2020_08_04
1031.0,36 m²,10 m,3.6 m,"83,33 triệu/m²",2020_08_04
1041.0,11 m²,2.7 m,4 m,"122,73 triệu/m²",2020_08_04
1057.0,32 m²,8 m,4 m,"44,38 triệu/m²",2020_08_04
1060.0,39 m²,9 m,4.5 m,"111,54 triệu/m²",2020_08_04
1096.0,32 m²,8 m,4 m,50 triệu/m²,2020_08_04
1106.0,60 m²,14 m,4.5 m,"208,33 triệu/m²",2020_08_04
1110.0,38 m²,11 m,3.5 m,"94,74 triệu/m²",2020_08_04
1112.0,35 m²,5 m,7 m,"77,14 triệu/m²",2020_08_04
1132.0,35 m²,8.5 m,4.1 m,"97,14 triệu/m²",2020_08_04
1142.0,64 m²,13 m,5 m,"78,13 triệu/m²",2020_08_04
1189.0,34 m²,8 m,4 m,"92,65 triệu/m²",2020_08_04
1190.0,50 m²,8.5 m,6 m,"3,74 triệu/m²",2020_08_04
1192.0,34 m²,10 m,35 m,"72,06 triệu/m²",2020_08_04
1212.0,30 m²,9 m,3.6 m,80 triệu/m²,2020_08_04
1221.0,43 m²,11.25 m,4 m,"227,91 triệu/m²",2020_08_04
1225.0,47 m²,9 m,5 m,"117,02 triệu/m²",2020_08_04
1231.0,32 m²,8 m,4 m,"53,13 triệu/m²",2020_08_04
1233.0,18 m²,6 m,3 m,"69,44 triệu/m²",2020_08_04
1237.0,53 m²,12 m,4 m,"98,11 triệu/m²",2020_08_04
1248.0,35 m²,9 m,4 m,"65,71 triệu/m²",2020_08_04
1258.0,41 m²,10 m,4.1 m,"65,85 triệu/m²",2020_08_04
1268.0,40 m²,10 m,4 m,70 triệu/m²,2020_08_04
1271.0,30 m²,8 m,4 m,"40,33 triệu/m²",2020_08_04
1276.0,45 m²,10.1 m,4 m,"157,78 triệu/m²",2020_08_04
1282.0,40 m²,11 m,4 m,75 triệu/m²,2020_08_04
1286.0,50 m²,10 m,5 m,93 triệu/m²,2020_08_04
1287.0,30 m²,10 m,3.5 m,110 triệu/m²,2020_08_04
1289.0,57 m²,15 m,4 m,"77,19 triệu/m²",2020_08_04
1292.0,60 m²,10 m,6 m,"55,83 triệu/m²",2020_08_04
1297.0,36 m²,10 m,3.6 m,"44,44 triệu/m²",2020_08_04
1306.0,52 m²,13 m,4 m,"70,19 triệu/m²",2020_08_04
1307.0,30 m²,6 m,5 m,"50,33 triệu/m²",2020_08_04
1309.0,43 m²,12 m,37 m,"132,56 triệu/m²",2020_08_04
1313.0,33 m²,8 m,4 m,"181,82 triệu/m²",2020_08_04
1314.0,39 m²,10 m,3.9 m,"43,59 triệu/m²",2020_08_04
1316.0,50 m²,10 m,5 m,190 triệu/m²,2020_08_04
1320.0,76 m²,12 m,7 m,"126,32 triệu/m²",2020_08_04
1321.0,30 m²,12 m,41 m,"196,67 triệu/m²",2020_08_04
1324.0,50 m²,13 m,4 m,60 triệu/m²,2020_08_04
1327.0,37 m²,13 m,3 m,"53,19 triệu/m²",2020_08_04
1330.0,46 m²,8 m,6 m,"97,83 triệu/m²",2020_08_04
1331.0,32 m²,9 m,4 m,"90,63 triệu/m²",2020_08_04
1333.0,50 m²,13 m,4 m,104 triệu/m²,2020_08_04
1335.0,62 m²,10 m,6.2 m,"83,87 triệu/m²",2020_08_04
1336.0,48 m²,8 m,6 m,"93,75 triệu/m²",2020_08_04
1341.0,45 m²,11 m,4 m,"184,44 triệu/m²",2020_08_04
1344.0,36 m²,9 m,4.1 m,"91,67 triệu/m²",2020_08_04
1348.0,50.1 m²,12.5 m,4 m,30 triệu/m²,2020_08_04
1350.0,35 m²,5 m,7 m,"74,29 triệu/m²",2020_08_04
1351.0,28 m²,7.8 m,3.6 m,100 triệu/m²,2020_08_04
1356.0,85 m²,20 m,4.2 m,"44,71 triệu/m²",2020_08_04
1360.0,31 m²,7 m,4.6 m,"66,13 triệu/m²",2020_08_04
1371.0,42 m²,7 m,6 m,"92,86 triệu/m²",2020_08_04
1373.0,90 m²,18 m,5 m,"138,89 triệu/m²",2020_08_04
1388.0,39 m²,35 m,4 m,"120,51 triệu/m²",2020_08_04
1391.0,34 m²,10 m,3.4 m,"70,59 triệu/m²",2020_08_04
1396.0,40 m²,10 m,4 m,"167,5 triệu/m²",2020_08_04
1398.0,30 m²,8 m,3.5 m,"96,67 triệu/m²",2020_08_04
1400.0,45 m²,9 m,5 m,"84,44 triệu/m²",2020_08_04
1412.0,75 m²,12 m,6.3 m,"77,33 triệu/m²",2020_08_04
1414.0,40 m²,12 m,3.6 m,"40,5 triệu/m²",2020_08_04
1418.0,30 m²,12 m,3.5 m,"158,33 triệu/m²",2020_08_04
1421.0,35 m²,9.8 m,3.6 m,"104,29 triệu/m²",2020_08_04
1424.0,31 m²,10 m,3 m,"75,81 triệu/m²",2020_08_04
1425.0,35 m²,5.8 m,6 m,"162,86 triệu/m²",2020_08_04
1428.0,168 m²,20 m,9 m,"15,48 triệu/m²",2020_08_04
1432.0,39 m²,14 m,3.2 m,"330,77 triệu/m²",2020_08_04
1437.0,39 m²,11 m,348 m,"73,08 triệu/m²",2020_08_04
1441.0,130 m²,22 m,6 m,"121,54 triệu/m²",2020_08_04
1446.0,60 m²,15 m,4 m,165 triệu/m²,2020_08_04
1450.0,37 m²,10 m,3.7 m,"93,27 triệu/m²",2020_08_04
1451.0,49 m²,8 m,6.5 m,"104,08 triệu/m²",2020_08_04
1455.0,30 m²,6 m,5 m,"50,27 triệu/m²",2020_08_04
1458.0,34.1 m²,7.81 m,4.29 m,"37,35 triệu/m²",2020_08_04
1471.0,49 m²,8 m,6.5 m,"104,08 triệu/m²",2020_08_04
1472.0,72 m²,14 m,5 m,"123,61 triệu/m²",2020_08_04
1484.0,35 m²,12 m,3 m,"56,23 triệu/m²",2020_08_04
1491.0,61 m²,10 m,5.94 m,"34,43 triệu/m²",2020_08_04
1494.0,41 m²,8.2 m,5 m,"93,9 triệu/m²",2020_08_04
1501.0,47 m²,10 m,5 m,"70,92 triệu/m²",2020_08_04
1509.0,30 m²,30 m,30 m,"111,67 triệu/m²",2020_08_04
1518.0,46 m²,9 m,5.1 m,"43,48 triệu/m²",2020_08_04
1519.0,42 m²,14 m,4 m,"63,1 triệu/m²",2020_08_04
1520.0,34 m²,10 m,3.4 m,"79,41 triệu/m²",2020_08_04
1523.0,65 m²,12 m,5.5 m,"161,54 triệu/m²",2020_08_04
1525.0,43 m²,11 m,4 m,"101,16 triệu/m²",2020_08_04
1527.0,65 m²,12 m,5.5 m,"16,15 triệu/m²",2020_08_04
1529.0,38 m²,12.3 m,3.1 m,"77,89 triệu/m²",2020_08_04
1530.0,30 m²,7 m,4 m,50 triệu/m²,2020_08_04
1536.0,32 m²,7 m,5 m,"46,5 triệu/m²",2020_08_04
1541.0,61 m²,13 m,4.6 m,"431,15 triệu/m²",2020_08_04
1542.0,85 m²,17 m,5 m,"68,82 triệu/m²",2020_08_04
1545.0,73 m²,14 m,5.4 m,"58,9 triệu/m²",2020_08_04
1548.0,40 m²,10 m,4 m,180 triệu/m²,2020_08_04
1550.0,40 m²,9.7 m,4.12 m,"66,25 triệu/m²",2020_08_04
1555.0,60 m²,12 m,5.5 m,"17,5 triệu/m²",2020_08_04
1559.0,38 m²,9.5 m,4.2 m,"89,47 triệu/m²",2020_08_04
1563.0,100 m²,10 m,10 m,120 triệu/m²,2020_08_04
1566.0,65 m²,12 m,5.5 m,"16,15 triệu/m²",2020_08_04
1570.0,39 m²,10 m,3.9 m,"92,31 triệu/m²",2020_08_04
1572.0,31 m²,8 m,4 m,"129,03 triệu/m²",2020_08_04
1575.0,45 m²,11 m,4 m,"111,11 triệu/m²",2020_08_04
1580.0,150 m²,13 m,12 m,166 triệu/m²,2020_08_04
1581.0,35 m²,7 m,5.5 m,"111,43 triệu/m²",2020_08_04
1589.0,40 m²,6.7 m,6 m,"40,5 triệu/m²",2020_08_04
1591.0,44 m²,11 m,4 m,"67,05 triệu/m²",2020_08_04
1602.0,37 m²,10 m,3.7 m,"37,84 triệu/m²",2020_08_04
1606.0,30 m²,7.4 m,4.1 m,"103,33 triệu/m²",2020_08_04
1607.0,52 m²,11.5 m,4.5 m,"90,38 triệu/m²",2020_08_04
1610.0,33 m²,8 m,3.7 m,"112,12 triệu/m²",2020_08_04
1611.0,46 m²,9 m,5 m,"108,7 triệu/m²",2020_08_04
1612.0,35 m²,10 m,3.5 m,100 triệu/m²,2020_08_04
1620.0,35 m²,9 m,4 m,"82,86 triệu/m²",2020_08_04
1627.0,60 m²,10 m,6 m,80 triệu/m²,2020_08_04
1673.0,37 m²,11 m,3.5 m,"75,68 triệu/m²",2020_08_04
1694.0,35 m²,12 m,3.5 m,"168,57 triệu/m²",2020_08_04
1697.0,60 m²,4.5 m,4.5 m,"141,67 triệu/m²",2020_08_04
1705.0,70 m²,14 m,5 m,"107,14 triệu/m²",2020_08_04
1706.0,23 m²,8 m,4.6 m,"108,7 triệu/m²",2020_08_04
1712.0,46 m²,10 m,4.5 m,"97,83 triệu/m²",2020_08_04
1716.0,36 m²,10 m,3.6 m,"95,28 triệu/m²",2020_08_04
1721.0,50 m²,10 m,5.2 m,37 triệu/m²,2020_08_04
1733.0,34 m²,10 m,3.5 m,"58,24 triệu/m²",2020_08_04
1738.0,38 m²,9 m,4 m,"73,68 triệu/m²",2020_08_04
1740.0,33 m²,13 m,35 m,"107,58 triệu/m²",2020_08_04
